name,industry,category,price,user_rating,user_reviews,price_band,rating_tier
Frappuccino® Blended Coffee,Coffee,Whole Milk,340.0,110.0,62,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Whole Milk,290.0,110.0,58,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Whole Milk,280.0,100.0,59,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Crème,Coffee,Grande Nonfat Milk,240.0,0.0,55,Luxury ($101-250),Low (1-2.9)
Frappuccino® Blended Crème,Coffee,Grande Nonfat Milk,230.0,0.0,52,Luxury ($101-250),Low (1-2.9)
Frappuccino® Blended Crème,Coffee,Soymilk,240.0,0.0,49,Luxury ($101-250),Low (1-2.9)
Frappuccino® Blended Crème,Coffee,Soymilk,170.0,0.0,35,Luxury ($101-250),Low (1-2.9)
Frappuccino® Blended Crème,Coffee,Soymilk,180.0,0.0,35,Luxury ($101-250),Low (1-2.9)
Frappuccino® Blended Crème,Coffee,Soymilk,320.0,0.0,64,Ultra ($250+),Low (1-2.9)
Frappuccino® Blended Crème,Coffee,Tall Nonfat Milk,170.0,0.0,38,Luxury ($101-250),Low (1-2.9)
Frappuccino® Blended Crème,Coffee,Tall Nonfat Milk,170.0,0.0,38,Luxury ($101-250),Low (1-2.9)
Frappuccino® Blended Crème,Coffee,Venti Nonfat Milk,310.0,0.0,69,Ultra ($250+),Low (1-2.9)
Frappuccino® Blended Crème,Coffee,Whole Milk,200.0,0.0,38,Luxury ($101-250),Low (1-2.9)
Frappuccino® Blended Crème,Coffee,Whole Milk,190.0,0.0,37,Luxury ($101-250),Low (1-2.9)
Frappuccino® Blended Crème,Coffee,Whole Milk,350.0,0.0,68,Ultra ($250+),Low (1-2.9)
Frappuccino® Blended Crème,Coffee,Whole Milk,260.0,0.0,52,Ultra ($250+),Low (1-2.9)
Frappuccino® Light Blended Coffee,Coffee,Grande Nonfat Milk,220.0,105.0,39,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Light Blended Coffee,Coffee,Grande Nonfat Milk,150.0,95.0,30,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Light Blended Coffee,Coffee,Grande Nonfat Milk,120.0,95.0,26,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Light Blended Coffee,Coffee,Grande Nonfat Milk,150.0,90.0,32,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Light Blended Coffee,Coffee,Tall Nonfat Milk,90.0,70.0,19,Premium ($51-100),Top Rated (4.5-5)
Frappuccino® Light Blended Coffee,Coffee,Tall Nonfat Milk,100.0,65.0,23,Premium ($51-100),Top Rated (4.5-5)
Frappuccino® Light Blended Coffee,Coffee,Tall Nonfat Milk,150.0,70.0,27,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Light Blended Coffee,Coffee,Tall Nonfat Milk,110.0,70.0,23,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Light Blended Coffee,Coffee,Venti Nonfat Milk,210.0,130.0,42,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Light Blended Coffee,Coffee,Venti Nonfat Milk,200.0,120.0,43,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Light Blended Coffee,Coffee,Venti Nonfat Milk,160.0,120.0,33,Luxury ($101-250),Top Rated (4.5-5)
